,group1,group2,meandiff,p-adj,lower,upper,reject
Mort,DNA 610,PIC 337,0.0077,0.7322,-0.0116,0.027,False
Mort,DNA 610,PIC 800,-0.0006,0.9989,-0.0115,0.0103,False
Mort,DNA 610,TN-DUROC,-0.0392,0.0,-0.0614,-0.0171,True
Mort,PIC 337,PIC 800,-0.0084,0.6475,-0.0268,0.0101,False
Mort,PIC 337,TN-DUROC,-0.047,0.0,-0.0736,-0.0203,True
Mort,PIC 800,TN-DUROC,-0.0386,0.0,-0.06,-0.0173,True
ADG,DNA 610,PIC 337,0.0077,0.7322,-0.0116,0.027,False
ADG,DNA 610,PIC 800,-0.0006,0.9989,-0.0115,0.0103,False
ADG,DNA 610,TN-DUROC,-0.0392,0.0,-0.0614,-0.0171,True
ADG,PIC 337,PIC 800,-0.0084,0.6475,-0.0268,0.0101,False
ADG,PIC 337,TN-DUROC,-0.047,0.0,-0.0736,-0.0203,True
ADG,PIC 800,TN-DUROC,-0.0386,0.0,-0.06,-0.0173,True
AdjFC,DNA 610,PIC 337,0.0077,0.7322,-0.0116,0.027,False
AdjFC,DNA 610,PIC 800,-0.0006,0.9989,-0.0115,0.0103,False
AdjFC,DNA 610,TN-DUROC,-0.0392,0.0,-0.0614,-0.0171,True
AdjFC,PIC 337,PIC 800,-0.0084,0.6475,-0.0268,0.0101,False
AdjFC,PIC 337,TN-DUROC,-0.047,0.0,-0.0736,-0.0203,True
AdjFC,PIC 800,TN-DUROC,-0.0386,0.0,-0.06,-0.0173,True
Tops,DNA 610,PIC 337,0.0077,0.7322,-0.0116,0.027,False
Tops,DNA 610,PIC 800,-0.0006,0.9989,-0.0115,0.0103,False
Tops,DNA 610,TN-DUROC,-0.0392,0.0,-0.0614,-0.0171,True
Tops,PIC 337,PIC 800,-0.0084,0.6475,-0.0268,0.0101,False
Tops,PIC 337,TN-DUROC,-0.047,0.0,-0.0736,-0.0203,True
Tops,PIC 800,TN-DUROC,-0.0386,0.0,-0.06,-0.0173,True
