live_weight_kg,backfat_mm,loin_depth_mm,age_days,market_class,value_usd
28.2,9.9,33.2,85,feeder_pig,93.24
22.8,8.9,32.3,81,feeder_pig,84.67
30,9.4,36.7,91,feeder_pig,91.9
30.8,11,36,63,feeder_pig,90.86
19.2,10,29.4,73,feeder_pig,75.4
21.8,10.5,39.5,71,feeder_pig,78.25
27.5,11,34.6,59,feeder_pig,82.38
25.7,9.4,30.6,83,feeder_pig,97.04
26.9,11.1,39.8,73,feeder_pig,90.15
23.6,10.6,37.5,81,feeder_pig,96.39
30.5,8.1,29.9,94,feeder_pig,100.8
30.1,12.2,42.1,72,feeder_pig,104.87
27.3,9.2,37.6,72,feeder_pig,94.81
31.5,7.5,35,76,feeder_pig,84.56
28.9,8.4,41.4,83,feeder_pig,93.47
23.6,8.5,35.6,70,feeder_pig,86.91
28.5,10.1,34.9,70,feeder_pig,99.99
23.2,9.6,32.4,83,feeder_pig,70.24
30.5,9.5,37.3,78,feeder_pig,102.72
26.8,10.9,36.9,59,feeder_pig,84.71
26.3,10.5,35.1,65,feeder_pig,93.89
24.3,10.5,31.8,87,feeder_pig,85.8
31.9,10.6,35.5,78,feeder_pig,110.4
26.4,10.9,34.7,69,feeder_pig,100.24
25.3,6.8,29.7,74,feeder_pig,93.74
25.6,9.5,29.1,75,feeder_pig,95.15
29.1,6.7,37.3,81,feeder_pig,99.51
28.5,10.1,24.6,64,feeder_pig,114.5
28.7,10,35.8,68,feeder_pig,88.29
28.7,11.6,33.1,77,feeder_pig,91.19
35.6,11.8,40.2,74,feeder_pig,121.19
25.4,10.3,33,80,feeder_pig,95.16
25,9.2,37.6,65,feeder_pig,95.34
23.7,10.7,33.4,78,feeder_pig,90.68
29.5,9.2,35.5,84,feeder_pig,83.62
31.5,10,37.9,79,feeder_pig,117.96
26.5,11.5,33.1,76,feeder_pig,89.02
23.6,9.2,39,74,feeder_pig,99.03
23.7,11.2,31,68,feeder_pig,67.41
29.6,11,36.2,74,feeder_pig,101.47
30,8.6,38.7,85,feeder_pig,98.96
29.2,11.5,37.6,74,feeder_pig,103.42
24.3,11,42.7,68,feeder_pig,93.55
27.9,10.2,31.9,71,feeder_pig,97.1
27.5,8.9,29.5,77,feeder_pig,84.66
27.9,8.7,31,72,feeder_pig,94.46
30.5,9.2,37.6,79,feeder_pig,102.1
27.9,10.8,37,79,feeder_pig,100.2
29.7,8.6,35.4,82,feeder_pig,109.07
27.3,10.7,30.5,86,feeder_pig,92.95
28.2,8.1,38.1,83,feeder_pig,89.4
29.5,9.7,30.1,68,feeder_pig,98.05
21.2,10.2,39.6,68,feeder_pig,104.17
25.7,13.7,46.4,74,feeder_pig,106.95
25.1,7.9,36.5,71,feeder_pig,68.35
24.4,12.2,37.3,66,feeder_pig,88.08
25.9,10.2,33,71,feeder_pig,97.78
33,10.6,27.8,71,feeder_pig,101.56
23.5,10.2,32.6,70,feeder_pig,81.16
30.9,10.7,30.6,72,feeder_pig,97.58
20.3,9.8,29.2,84,feeder_pig,80.84
25.7,12.2,41.9,77,feeder_pig,83.54
27.7,9.3,36.1,95,feeder_pig,106.06
29.3,11.7,36.5,76,feeder_pig,97.9
29.8,9,33.8,73,feeder_pig,92.78
30.2,9.9,34.3,75,feeder_pig,109.66
25.6,8.4,38.9,77,feeder_pig,81.69
25.2,10.7,34.9,78,feeder_pig,84.89
30.4,12.2,37.1,92,feeder_pig,96.1
26.2,9.9,34.2,68,feeder_pig,108.97
21.9,9.7,33.6,82,feeder_pig,76.74
22.5,8.3,29.4,77,feeder_pig,65.32
23.3,9.7,27.1,62,feeder_pig,77.4
29,7.6,34,81,feeder_pig,103.36
27.6,8.6,35.2,85,feeder_pig,102.71
29.8,10.3,29.9,68,feeder_pig,115.48
25.3,12,34.9,75,feeder_pig,99.77
27.6,14.2,35.2,61,feeder_pig,93.46
29.5,9.1,26.4,65,feeder_pig,88.69
25.8,12.2,31.3,83,feeder_pig,100.64
28.8,10.4,36.6,71,feeder_pig,95.39
24.4,9.8,36.5,66,feeder_pig,83.82
25.5,10.6,30.4,77,feeder_pig,84.48
25.5,10.1,35.6,71,feeder_pig,80.8
22.2,10.2,39.1,71,feeder_pig,81.51
28.9,9.4,38.1,81,feeder_pig,98.25
25.1,7.9,34.6,66,feeder_pig,97.05
27,7.7,33.1,68,feeder_pig,91.69
28.9,11,32.5,76,feeder_pig,85.89
28.8,9.6,36.9,83,feeder_pig,86.3
29.7,9.1,35.8,85,feeder_pig,102.64
26.6,10,37.5,70,feeder_pig,94.85
25.3,11.2,35.5,82,feeder_pig,85.02
26.7,10.3,38.3,69,feeder_pig,90.91
20.3,9,35.4,90,feeder_pig,83.27
21.2,11.8,38.1,66,feeder_pig,92.37
21.7,12.4,38.5,86,feeder_pig,75.83
23,10.7,31.8,70,feeder_pig,83.65
28.6,11.5,27.8,91,feeder_pig,100.29
23.4,11.9,41.2,80,feeder_pig,81.35
25.5,11.7,36,67,feeder_pig,89.61
32.2,10.9,28.1,71,feeder_pig,100.87
25.6,10.9,32.1,81,feeder_pig,78.16
30,10.8,38.1,83,feeder_pig,102.76
23.3,8.4,33.9,74,feeder_pig,86.74
26.2,11.1,33,75,feeder_pig,94.7
23.2,8,40.6,81,feeder_pig,80.44
25.6,8.8,30.8,76,feeder_pig,89.76
30.4,12,31.8,65,feeder_pig,109.23
20.1,11.3,35.8,68,feeder_pig,94.7
28.7,12.2,36.6,77,feeder_pig,106.92
28,9.6,37,85,feeder_pig,88
24.6,8.3,38.6,88,feeder_pig,95.39
21.2,9.6,35.8,81,feeder_pig,77.99
27.3,10.2,37,77,feeder_pig,97.67
24.9,10.1,34,81,feeder_pig,82.52
